---------------------------------------------------------
mask ratio : 0.75;
layer name	KL divergency	accuracy
features.init_block.conv.conv.weight	6.013347	3.25
features.stage1.unit1.body.conv1.conv.weight	6.1403937	8.0
features.stage1.unit1.body.conv2.conv.weight	1.435672	50.25
features.stage1.unit1.body.conv3.conv.weight	4.9023	8.75
features.stage1.unit1.identity_conv.conv.weight	6.789734	0.0
features.stage1.unit2.body.conv1.conv.weight	0.72572637	62.75
features.stage1.unit2.body.conv2.conv.weight	0.9470346	59.5
features.stage1.unit2.body.conv3.conv.weight	4.268744	17.0
features.stage1.unit3.body.conv1.conv.weight	0.99088717	59.75
features.stage1.unit3.body.conv2.conv.weight	0.30165648	73.25
features.stage1.unit3.body.conv3.conv.weight	1.0544782	60.5
features.stage2.unit1.body.conv1.conv.weight	0.307809	70.0
features.stage2.unit1.body.conv2.conv.weight	0.46903527	70.75
features.stage2.unit1.body.conv3.conv.weight	0.8255034	65.0
features.stage2.unit1.identity_conv.conv.weight	5.1937733	4.75
features.stage2.unit2.body.conv1.conv.weight	0.2157662	76.25
features.stage2.unit2.body.conv2.conv.weight	0.21847373	75.25
features.stage2.unit2.body.conv3.conv.weight	0.38755774	70.0
features.stage2.unit3.body.conv1.conv.weight	0.25771594	72.5
features.stage2.unit3.body.conv2.conv.weight	0.12751096	75.75
features.stage2.unit3.body.conv3.conv.weight	0.48998368	72.75
features.stage2.unit4.body.conv1.conv.weight	0.8642369	62.0
features.stage2.unit4.body.conv2.conv.weight	0.13136534	75.75
features.stage2.unit4.body.conv3.conv.weight	1.0445408	58.75
features.stage3.unit1.body.conv1.conv.weight	0.5563298	72.5
features.stage3.unit1.body.conv2.conv.weight	0.7601789	59.75
features.stage3.unit1.body.conv3.conv.weight	0.07136423	75.75
features.stage3.unit1.identity_conv.conv.weight	6.807837	0.5
features.stage3.unit2.body.conv1.conv.weight	0.044101905	78.0
features.stage3.unit2.body.conv2.conv.weight	0.06293753	74.75
features.stage3.unit2.body.conv3.conv.weight	0.037247606	81.75
features.stage3.unit3.body.conv1.conv.weight	0.028650023	82.75
features.stage3.unit3.body.conv2.conv.weight	0.03310506	78.75
features.stage3.unit3.body.conv3.conv.weight	0.03247624	77.25
features.stage3.unit4.body.conv1.conv.weight	0.042326897	77.75
features.stage3.unit4.body.conv2.conv.weight	0.060962245	75.0
features.stage3.unit4.body.conv3.conv.weight	0.036954924	76.75
features.stage3.unit5.body.conv1.conv.weight	0.03533308	76.75
features.stage3.unit5.body.conv2.conv.weight	0.04875284	75.0
features.stage3.unit5.body.conv3.conv.weight	0.037193093	80.25
features.stage3.unit6.body.conv1.conv.weight	0.06012981	76.75
features.stage3.unit6.body.conv2.conv.weight	0.046985615	79.25
features.stage3.unit6.body.conv3.conv.weight	0.047167875	72.25
features.stage3.unit7.body.conv1.conv.weight	0.026396632	82.25
features.stage3.unit7.body.conv2.conv.weight	0.02974196	81.5
features.stage3.unit7.body.conv3.conv.weight	0.0226775	78.5
features.stage3.unit8.body.conv1.conv.weight	0.045483116	79.5
features.stage3.unit8.body.conv2.conv.weight	0.04330287	75.5
features.stage3.unit8.body.conv3.conv.weight	0.03970914	76.75
features.stage3.unit9.body.conv1.conv.weight	0.022389716	78.75
features.stage3.unit9.body.conv2.conv.weight	0.023642235	78.75
features.stage3.unit9.body.conv3.conv.weight	0.023359818	78.75
features.stage3.unit10.body.conv1.conv.weight	0.039270066	78.5
features.stage3.unit10.body.conv2.conv.weight	0.03194198	79.5
features.stage3.unit10.body.conv3.conv.weight	0.031583242	78.75
features.stage3.unit11.body.conv1.conv.weight	0.05457129	75.75
features.stage3.unit11.body.conv2.conv.weight	0.027646216	78.5
features.stage3.unit11.body.conv3.conv.weight	0.03165782	78.5
features.stage3.unit12.body.conv1.conv.weight	0.069070056	78.5
features.stage3.unit12.body.conv2.conv.weight	0.032390255	81.0
features.stage3.unit12.body.conv3.conv.weight	0.039023414	79.0
features.stage3.unit13.body.conv1.conv.weight	0.035388786	76.0
features.stage3.unit13.body.conv2.conv.weight	0.046549045	77.75
features.stage3.unit13.body.conv3.conv.weight	0.024922524	80.5
features.stage3.unit14.body.conv1.conv.weight	0.045609053	78.75
features.stage3.unit14.body.conv2.conv.weight	0.045587353	76.0
features.stage3.unit14.body.conv3.conv.weight	0.041730385	78.75
features.stage3.unit15.body.conv1.conv.weight	0.06492524	79.25
features.stage3.unit15.body.conv2.conv.weight	0.039016813	81.0
features.stage3.unit15.body.conv3.conv.weight	0.036374398	80.5
features.stage3.unit16.body.conv1.conv.weight	0.03249489	78.5
features.stage3.unit16.body.conv2.conv.weight	0.04311038	74.75
features.stage3.unit16.body.conv3.conv.weight	0.040974516	75.5
features.stage3.unit17.body.conv1.conv.weight	0.05297573	77.5
features.stage3.unit17.body.conv2.conv.weight	0.04472862	76.5
features.stage3.unit17.body.conv3.conv.weight	0.0359004	78.5
features.stage3.unit18.body.conv1.conv.weight	0.049899597	77.0
features.stage3.unit18.body.conv2.conv.weight	0.041590497	77.0
features.stage3.unit18.body.conv3.conv.weight	0.037876643	74.0
features.stage3.unit19.body.conv1.conv.weight	0.07306767	74.0
features.stage3.unit19.body.conv2.conv.weight	0.06301513	75.5
features.stage3.unit19.body.conv3.conv.weight	0.050356638	77.75
features.stage3.unit20.body.conv1.conv.weight	0.095301025	77.75
features.stage3.unit20.body.conv2.conv.weight	0.05812766	77.0
features.stage3.unit20.body.conv3.conv.weight	0.07112774	76.75
features.stage3.unit21.body.conv1.conv.weight	0.08807796	76.5
features.stage3.unit21.body.conv2.conv.weight	0.045782074	80.25
features.stage3.unit21.body.conv3.conv.weight	0.073354036	77.0
features.stage3.unit22.body.conv1.conv.weight	0.11398874	75.0
features.stage3.unit22.body.conv2.conv.weight	0.048401624	75.5
features.stage3.unit22.body.conv3.conv.weight	0.0704852	75.75
features.stage3.unit23.body.conv1.conv.weight	0.14778754	75.5
features.stage3.unit23.body.conv2.conv.weight	0.08976643	78.25
features.stage3.unit23.body.conv3.conv.weight	0.08231705	74.0
features.stage4.unit1.body.conv1.conv.weight	0.236283	71.25
features.stage4.unit1.body.conv2.conv.weight	0.17802332	75.5
features.stage4.unit1.body.conv3.conv.weight	0.3053897	73.5
features.stage4.unit1.identity_conv.conv.weight	3.4370081	35.25
features.stage4.unit2.body.conv1.conv.weight	0.2267879	77.5
features.stage4.unit2.body.conv2.conv.weight	0.225976	76.75
features.stage4.unit2.body.conv3.conv.weight	0.19029956	73.75
features.stage4.unit3.body.conv1.conv.weight	0.39333686	76.25
features.stage4.unit3.body.conv2.conv.weight	0.33856633	74.5
features.stage4.unit3.body.conv3.conv.weight	1.9324092	47.0
output.weight	3.6076396	32.25
---------------------------------------------------------
mask ratio : 0.25;
layer name	KL divergency	accuracy
features.init_block.conv.conv.weight	2.2207217	39.5
features.stage1.unit1.body.conv1.conv.weight	1.3521912	50.75
features.stage1.unit1.body.conv2.conv.weight	0.32592148	72.5
features.stage1.unit1.body.conv3.conv.weight	1.4785416	51.0
features.stage1.unit1.identity_conv.conv.weight	5.087567	11.0
features.stage1.unit2.body.conv1.conv.weight	0.03966172	78.75
features.stage1.unit2.body.conv2.conv.weight	0.15681939	72.75
features.stage1.unit2.body.conv3.conv.weight	0.6915126	60.75
features.stage1.unit3.body.conv1.conv.weight	0.1767054	78.0
features.stage1.unit3.body.conv2.conv.weight	0.03818139	74.75
features.stage1.unit3.body.conv3.conv.weight	0.24340002	72.25
features.stage2.unit1.body.conv1.conv.weight	0.03465972	80.25
features.stage2.unit1.body.conv2.conv.weight	0.026799522	77.5
features.stage2.unit1.body.conv3.conv.weight	0.094388634	77.75
features.stage2.unit1.identity_conv.conv.weight	0.64191556	67.5
features.stage2.unit2.body.conv1.conv.weight	0.019114861	79.5
features.stage2.unit2.body.conv2.conv.weight	0.055034906	80.0
features.stage2.unit2.body.conv3.conv.weight	0.0825964	80.25
features.stage2.unit3.body.conv1.conv.weight	0.037251025	75.75
features.stage2.unit3.body.conv2.conv.weight	0.018892942	77.5
features.stage2.unit3.body.conv3.conv.weight	0.056129936	76.0
features.stage2.unit4.body.conv1.conv.weight	0.18323939	74.5
features.stage2.unit4.body.conv2.conv.weight	0.018870799	77.5
features.stage2.unit4.body.conv3.conv.weight	0.096572466	78.0
features.stage3.unit1.body.conv1.conv.weight	0.01549293	78.75
features.stage3.unit1.body.conv2.conv.weight	0.013407077	80.25
features.stage3.unit1.body.conv3.conv.weight	0.015206208	76.0
features.stage3.unit1.identity_conv.conv.weight	0.27430865	72.0
features.stage3.unit2.body.conv1.conv.weight	0.009737312	73.5
features.stage3.unit2.body.conv2.conv.weight	0.008832338	78.0
features.stage3.unit2.body.conv3.conv.weight	0.009384054	80.5
features.stage3.unit3.body.conv1.conv.weight	0.004576297	79.0
features.stage3.unit3.body.conv2.conv.weight	0.0046099923	80.25
features.stage3.unit3.body.conv3.conv.weight	0.006661189	77.5
features.stage3.unit4.body.conv1.conv.weight	0.006774868	79.5
features.stage3.unit4.body.conv2.conv.weight	0.0060937344	78.0
features.stage3.unit4.body.conv3.conv.weight	0.008223362	76.25
features.stage3.unit5.body.conv1.conv.weight	0.006040213	80.25
features.stage3.unit5.body.conv2.conv.weight	0.007413359	83.0
features.stage3.unit5.body.conv3.conv.weight	0.0069248313	80.25
features.stage3.unit6.body.conv1.conv.weight	0.01163664	77.0
features.stage3.unit6.body.conv2.conv.weight	0.0062837554	78.75
features.stage3.unit6.body.conv3.conv.weight	0.006444872	80.75
features.stage3.unit7.body.conv1.conv.weight	0.006975536	76.25
features.stage3.unit7.body.conv2.conv.weight	0.004923908	80.0
features.stage3.unit7.body.conv3.conv.weight	0.0074048545	79.5
